id,timestamp,text,searchQuery,clean_content,tokens,sentiment,sentiment_label,sentiment_score
1844183629653737485,2024-10-10 01:10:00+00:00,"selagi gak masuk indonesia mah bodo amat.
berani pawai begini di indonesia, gua orang pertama yg bakal nyiram air keras ke rombongan beginian.",speed Indonesia ,"selagi gak masuk indonesia mah bodo amat
berani pawai begini di indonesia gua orang pertama yg bakal nyiram air keras ke rombongan beginian","['selagi', 'gak', 'masuk', 'indonesia', 'mah', 'bodo', 'berani', 'pawai', 'indonesia', 'gua', 'orang', 'yg', 'nyiram', 'air', 'kera', 'rombongan']","[{'label': 'positive', 'score': 0.19892290234565735}, {'label': 'neutral', 'score': 0.12632742524147034}, {'label': 'negative', 'score': 0.6747496724128723}]",negative,0.6747496724128723
1844171042832646341,2024-10-10 00:20:00+00:00,Gak sabar nunggu update selanjutnya tentang aktivitas Speed di Indonesia. Reza Arap emang jago banget bikin konten yang kece!,speed Indonesia ,Gak sabar nunggu update selanjutnya tentang aktivitas Speed di Indonesia Reza Arap emang jago banget bikin konten yang kece,"['Gak', 'sabar', 'nunggu', 'update', 'aktivitas', 'Speed', 'Indonesia', 'Reza', 'Arap', 'emang', 'jago', 'banget', 'bikin', 'konten', 'kece']","[{'label': 'positive', 'score': 0.10257784277200699}, {'label': 'neutral', 'score': 0.0792376846075058}, {'label': 'negative', 'score': 0.8181844353675842}]",negative,0.8181844353675842
1844034407159701602,2024-10-09 15:17:00+00:00,"การ์ดน้องหนาว จากอัลบั้ม aespa 에스파 The 5th Mini Album〖Whiplash〗 

⭐ Beat Ver. เครื่องรางโชคดี🍀⛄
⭐ Speed Ver. ไอดอลที่เซ็นลายเซ็นบนการ์ดเยอะที่สุดในโลก
⭐ SMini Ver. โจแรงงี i'm winter! ☃️❄️

#WINTER #윈터 #น้องหนาว
#aespa @aespa_official",speed Indonesia ,"aespa  The th Mini AlbumWhiplash 

 Beat Ver 
 Speed Ver 
 SMini Ver  im winter 

WINTER  
aespa","['aespa', 'th', 'Mini', 'AlbumWhiplash', 'Beat', 'Ver', 'Speed', 'Ver', 'SMini', 'Ver', 'im', 'winter', 'WINTER', 'aespa']","[{'label': 'positive', 'score': 0.6757405996322632}, {'label': 'neutral', 'score': 0.17236003279685974}, {'label': 'negative', 'score': 0.15189936757087708}]",positive,0.6757405996322632
1844128223300551170,2024-10-09 21:30:00+00:00,speed indonesia,speed Indonesia ,speed indonesia,"['speed', 'indonesia']","[{'label': 'positive', 'score': 0.6607192754745483}, {'label': 'neutral', 'score': 0.16323663294315338}, {'label': 'negative', 'score': 0.17604415118694305}]",positive,0.6607192754745483
1844122745422159957,2024-10-09 21:08:00+00:00,Gue banget yang ikutin perjalanan Speed di Indonesia! Seru banget liat sisi lainnya yang keren dan bikin terharu.,speed Indonesia ,Gue banget yang ikutin perjalanan Speed di Indonesia Seru banget liat sisi lainnya yang keren dan bikin terharu,"['Gue', 'banget', 'ikutin', 'perjalanan', 'Speed', 'Indonesia', 'Seru', 'banget', 'liat', 'sisi', 'keren', 'bikin', 'terharu']","[{'label': 'positive', 'score': 0.8587087988853455}, {'label': 'neutral', 'score': 0.06668063998222351}, {'label': 'negative', 'score': 0.07461053878068924}]",positive,0.8587087988853455
1839287616509722900,2024-09-26 12:55:00+00:00,Indonesian fan makes a memorial poster of Speed when he was in Indonesia ❤️🇮🇩,speed Indonesia ,Indonesian fan makes a memorial poster of Speed when he was in Indonesia,"['Indonesian', 'fan', 'make', 'memorial', 'poster', 'Speed', 'Indonesia']","[{'label': 'positive', 'score': 0.5859847068786621}, {'label': 'neutral', 'score': 0.16304996609687805}, {'label': 'negative', 'score': 0.2509653866291046}]",positive,0.5859847068786621
1844092652557602820,2024-10-09 19:08:00+00:00,"Calling all speed lovers!
 #QJMOTOR #AlwaysForward   
#QJMOTORLaunchID #SRK800RR",speed Indonesia ,"Calling all speed lovers
 QJMOTOR AlwaysForward   
QJMOTORLaunchID SRKRR","['Calling', 'speed', 'lover', 'QJMOTOR', 'AlwaysForward', 'QJMOTORLaunchID', 'SRKRR']","[{'label': 'positive', 'score': 0.7074417471885681}, {'label': 'neutral', 'score': 0.10852771252393723}, {'label': 'negative', 'score': 0.18403054773807526}]",positive,0.7074417471885681
1839549377704296773,2024-09-27 06:15:00+00:00,"Who ever did this W 😭🗿🔥🇮🇩

#IShowSpeed #Speed #Indonesia",speed Indonesia ,"Who ever did this W 

IShowSpeed Speed Indonesia","['ever', 'W', 'IShowSpeed', 'Speed', 'Indonesia']","[{'label': 'positive', 'score': 0.4923708140850067}, {'label': 'neutral', 'score': 0.2151135802268982}, {'label': 'negative', 'score': 0.2925155758857727}]",positive,0.4923708140850067
1844046461836660766,2024-10-09 16:05:00+00:00,"x.com/winterdidthat/status/1…

Indonesia GO 🇮🇩 open pre order album aespa WHIPLASH 

beat, speed, SMini ver.

✅bisa pilih cover

Close 20 Oktober 2024 s!",speed Indonesia ,"xcomwinterdidthatstatus

Indonesia GO  open pre order album aespa WHIPLASH 

beat speed SMini ver

bisa pilih cover

Close  Oktober  s","['xcomwinterdidthatstatus', 'Indonesia', 'GO', 'open', 'pre', 'order', 'album', 'aespa', 'WHIPLASH', 'beat', 'speed', 'SMini', 'ver', 'pilih', 'cover', 'Close', 'Oktober']","[{'label': 'positive', 'score': 0.5428995490074158}, {'label': 'neutral', 'score': 0.19388359785079956}, {'label': 'negative', 'score': 0.26321685314178467}]",positive,0.5428995490074158
1838069597368660415,2024-09-23 04:15:00+00:00,"Indonesia GO🇮🇩 open pre order 
— aespa the 5th Mini album 'Whiplash'

BEAT, SPEED, SMini ver.

✅pilih cover
✅estimasi EMS & TAX
✅QRIS spaylater tf bank
📦pelunasan & pengiriman bs shopee toped
✅grup LINE, WA

Close ➫ 20 Okt 2024

form order🛒 bit.ly/winterdidthat-order

useful hashtag #WDTarrivedINA #OrderedbyWDT 

winterdidthat.carrd.co",speed Indonesia ,"Indonesia GO open pre order 
 aespa the th Mini album Whiplash

BEAT SPEED SMini ver

pilih cover
estimasi EMS  TAX
QRIS spaylater tf bank
pelunasan  pengiriman bs shopee toped
grup LINE WA

Close   Okt 

form order bitlywinterdidthatorder

useful hashtag WDTarrivedINA OrderedbyWDT 

winterdidthatcarrdco","['Indonesia', 'GO', 'open', 'pre', 'order', 'aespa', 'th', 'Mini', 'album', 'Whiplash', 'BEAT', 'SPEED', 'SMini', 'ver', 'pilih', 'cover', 'estimasi', 'EMS', 'TAX', 'QRIS', 'spaylater', 'tf', 'bank', 'pelunasan', 'pengiriman', 'b', 'shopee', 'toped', 'grup', 'LINE', 'WA', 'Close', 'Okt', 'form', 'order', 'bitlywinterdidthatorder', 'useful', 'hashtag', 'WDTarrivedINA', 'OrderedbyWDT', 'winterdidthatcarrdco']","[{'label': 'positive', 'score': 0.5298503041267395}, {'label': 'neutral', 'score': 0.18944358825683594}, {'label': 'negative', 'score': 0.28070610761642456}]",positive,0.5298503041267395
